Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
CYM1		3163.74	2989.08	26833.7	14431.9	6239.22	4428.28	2209.66
CYR1								
CYS3		18742.9	27022.6	62525	68226.8	55346	32381.1	24688.9
CYS4		11466.7	13806.4	46127.2	22188.1	22984.1	16401.6	16830.6
CYT1		3850.95	1376.91			1067.57	5648.31	2099.3
CYT2		2423.75	1307.56				1874.91	865.634
DAD3							1331.33	1151.62
DAK1		1547.82	2191.99	12823.8	22384	4448.53	2424.27	2171.16
DAP1		121.86		309.923		440.594	610.387	
DAP2			432.166	779.324		1124.48	529.222	356.939
DAS2		267.225	472.969				419.017	298.681
DBF2								
DBF20								
DBP10		265.193						949.827
DBP2		6529.14	3799	2400.25		8392.41	6524.99	2782.46
DBP3		1160.68	845.291			1385.42	1265.01	435.085
DBP5		1477.29	1468.05			3192.65	1189.21	1825.02
DBP8		835.046	400.425				771.001	456.321
DBP9		612.372	447.459				193.839	
DBR1							587.477	
DCD1		678.513						
DCP1		489.789	874.603	1795.02		747.583		469.428
DCP2		895.599	888.892	1248.01		372.981	974.754	532.807
DCR2		1664.57					2715.52	
DCS1		2259.29	2575.22	3296.97		3575.5	2808.78	1023.94
DCS2		130.79	917.446	3968.26		336.041	993.254	334.838
DCW1		1551.61	3140.35			860.376	1726.9	1194.96
DDI1		601.52	411.017				1475.86	698.64
DDP1		508.551	401.737				843.036	434.224
DDR48		2428.34	2296.44				3296.24	1735.95
DED1		2732.11	2733.97	14818.7		4899.1	2710.93	2415.77
DED81		6507.21	5940.54	9257.57	5583.88	16040.3	9962.05	9506.01
DEF1		5591.01	2098.21				2436.04	278.267
DEG1		478.494		2151.44		331.746	1582.91	
DEP1								
DET1		826.758	858.886				806.813	645.362
DFG10		669.884	324.492			404.743	757.257	
DFG5		2263.25	1384.55			1728.38	1182.93	1832.19
DFM1		351.981	1153.43	1892.91		955.151	296.909	587.629
DFR1		739.166	2136.94	2038.72		1204.09	1287.89	557.403
DGA1		948.294	590.718			996.694		
DGK1		577.698					749.92	
DGR2								
DHH1		780.098	917.216			341.197	767.09	607.219
DIA4			1018.94				276.215	
DIB1		1776.29				481.572	1480.83	
DIC1		528.318	774.736					556.342
DID2		466.1	871.315					1461.61
DID4			395.51					
DIE2								
DIM1		2164.39	1126.15	4137.06		2954.2	883.893	1213.34
DIP2		1286.03	321.315	4128.47		1640.83	563.677	971.473
DIP5			376.43					
DIS3		2331.35	1628.68	5838.05	21550.1	3157.13	2263.14	1293.02
DJP1		1382.32	1788.14	9950.21		1382.34	1555.45	1305.08
DLD1		2473.99	1797.83	3322.68		2610.97	2104.95	1563.94
DLD2		6457.23	7923.22	42347	32010.8	6476.41	5632.43	5975.75
DLD3		11490.1	14518.2	81358	44989.8	19348.4	12482.4	14220.7
DLS1								
DMA1								
DMA2								
DNF1		977.922	590.242	3999.16		1086.2	1288.82	1007.03
DNF2		803.917	513.865			1313.51	558.65	
DNF3						749.826	522.858	
DNM1		4517.94	2895.8	21478.4		5722.76	4455.22	3548.93
DOA1		1266.11	2004.64	3342.62		1276.11	1227.09	996.457
DOG2			249.41					
DOM34		540.368	507.892				517.293	515.543
DOP1		1237.6	1040.3			827.792		375.54
DOS2		1432.19	643.024	209.505		714.335	731.255	
DOT5		2164.73	474.592	559.855		1055.24	2158.16	1526.76
DPB2				1786.59		1153.04	700.096	201.622
DPB4		596.915	498.516			638.679	398.45	792.48
DPH1		541.62	957.07	1418.38		2069.19	303.978	1418.4
DPH2		837.368	814.251				1239.37	1109.99
DPH5		3075.76	3738.52	11812.5		2478.12	2349.24	1806.85
DPH6		2050.86	976.727	10636.1		5272.56	1617.6	398.157
DPL1		4265.43	2582.33	9681.48	4609.61	4530.35	5526.13	1379.09
DPM1		12175.6	7061.88	36904.6	64700.8	10280.9	10683.5	6697.99
DPP1		967.889	649.744				1299.48	663.537
DPS1		14238.4	15474.1	23829	43792.8	13705.7	15043.6	18097.3
DRE2		601.937	389.793				203.81	314.163
DRS1		1242.13	880.286			1441.02	1229.09	641.922
DRS2			320.499					1010.83
DSC3								
DSD1		1952.43	2373.72	4642.28			1312.18	959.823
DSE4			588.986	1756.23		215.173	235.229	
DSF2								
DSK2		1249.57	2421.74	3210.19	31190.2	1685.49	1121.88	687.333
DSL1			113.151			881.991	1073.37	448.433
DSS1		1004.36	802.937				1210.76	2524.47
DSS4								249.813
DST1		805.175	1414.49	5176.93		1913.46	776.614	561.249
DTD1							1461.98	788.46
DUF1								
DUG1		10103.8	12193.7	54877.1	80770.8	13064.5	11980.2	6485.39
DUG2		1092.8	662.443	4218.48		1942.71	1120.38	387.215
DUN1				802.366			749.5	339.439
DUR1,2		694.335	739.439			949.745	451.962	695.717
DUS1		1318.62	905.685	12015.7		6825.66	965.703	567.048
DUS3		1131.63				980.329	979.114	379.462
DUS4		4433.12	638.283	1974.32		1459.24	1064.27	
DUT1		1548.12	1281.72	6741.16			596.439	2128.38
DYN2		1139.95	1230.02			1825.68	1186.59	624.196
DYS1		6680.67	7692.24	53089.5		15472	7432.61	5687.09
EAF3								270.572
EAF5		318.135				370.985	304.96	
EAP1		1391.24	941.561			3038.13	1142.35	861.642
EAT1								
EBP2		966.674	1269.43				522.412	548.935
ECM1		559.521	981.395				525.522	566.051
ECM14		1734.18	3467.92	16665.6	5857.51	4546.76	4103.77	1697.99
ECM16		800.117	234.87	983.331			546.739	
ECM18								
ECM19		612.677	1525.47				1251.03	1906.36
ECM21								81.6225
ECM25		422.838	553.051	478.207		851.664	1310.78	
ECM29		1243.46	1163.82	6310.41		2689.35	1500.69	770.223
ECM3								
ECM31		1359.9	1042.81			1987	689.251	
ECM33		3280.15	2364.4	9958.41		33082.2	3290.85	3882.59
ECM38		839.47	1067.68			1570.76	580.92	150.481
ECM4		1673.88	1085.25	2870.16		3587.06	1979.42	810.78
ECT1		831.886	1015.69				1694.65	695.95
EDC3		393.164						
EDE1		2067.7	1512.93	8674.28		5114.11	2308.1	1770.41
EFB1		10533.3	8746.58	86734.4	76898.8	12809.3	13814.1	8444.77
EFM1		1301.65	1481	4033.73		962.047	1087.14	1704.33
EFM3								514.413
EFM4		1803.21	1886.6	21848.8		1520.19	2342.65	1722.97
EFM5		542.158	427.172			4154.33	1141.17	442.151
EFR3		470.328				1268.44		
EFT1		61024.1	71591.8	143103	147037	56397.9	58138.1	70410.8
EGD1		5912.12	4886.09	19287.6	19344.1	9217.21	3813.44	4950.29
EGD2		743.814	1048.56			1409.48	1781.86	2764.24
EGH1								
EGO2				4403.94		1309.48		
EHD3		1520.93	1742.27	8117.47		1996	2181.4	1165.57
EHT1		4224.74	3262.27			6597.07	4051.92	3585.25
EIS1		1143.87	1827.9	4656.14		2122.49	2404.04	905.042
ELF1		113.139	589.382				317.261	554.548
ELG1								
ELM1								
ELO1				6346.84				
ELO2		354.024	273.979	1652.09				
ELO3		3126	2931.18	14342.1		4937.86	5478.2	1646.08
ELP2		1093.05	1544.57	6253.95		1426.06	1100.24	1755.77
ELP3		4965.06	3188.07			7068	3170.29	1843.99
ELP4		447.641						
ELP6		1168.12	884.931	4125.63		1235.7	1111.43	562.117
EMC1		3083.25	1941.11		35847.3	1305.44	6300.76	1789.68
EMC10		920.173	239.194			1170.87		288.072
EMC2						1164.85	840.414	667.631
EMC3								
EMC4								686.708
EMC5			1373.88					
EMG1		1009.55	844.481			554.624	1110.52	708.747
EMI1			270.553	2254.09				
EMI2		3318.71	4744.34	538.319		7398.27	5378.48	4202.37
EMP24		535.18	658.862			240.052	520.956	773.393
EMP47		972.177	1566.23			1953.28	2134.13	874.62
EMP65		576.269						125.671
EMP70		894.498	1677.16	4520.1		1050.58	1120.39	680.68
EMW1		1252.05	494.658			2131.44	1559.22	1267.03
ENA1								
ENB1								
END3		2151.92	803.229	7585.27		2472.86	1692.25	1603.2
ENO1		76222.4	89788.2	233523	280098	190511	126142	129109
ENO2		116102	131973	421107	464701	167087	143049	143064
ENP1		3034.38	4468.65	3466.44		7637.74	4489.06	3014.76
ENP2		771.944						
ENT1			1010.61					1049.99
ENT2		1751.92	1203.14			3529.87	1765	1631.98
ENT3		3054.3	4559.56	14916.8		6591.86	1655.91	2310.75
ENT4			350.559				209.251	
ENT5		304.732						
ENV10								
ENV9		90.5377					506.685	
EOS1								
EPS1		887.279	760.483				1167.63	735.952
EPT1		1497.3	501.689				1250.71	539.089
ERB1		3879.75	1726.3			2522.08	2685.64	1331.09
ERD2		1459.3	1306.81			932.47	1592.49	
ERG1		2512.29	3578.02			7090.41	2864.91	2883.27
ERG10		4280.85	6137.77	21324.3	17729.8	15203.3	6065.54	9591.17
ERG11		7702.35	4381.26	24082.2		23095.1	6016.57	4468.03
ERG12		5929.4	5023.76	8294.82	40933	12212.3	4944.9	4799.86
ERG13		10958.7	13706.8	16759.1	125582	17845.8	14291	20724.6
ERG2					4003.09		551.072	837.005
ERG20		6982.63	7478.41	24230	8985.61	18127.1	14357.6	11007.1
ERG24		3127.26	499.337			1838.73	2902.17	
ERG25		2485.89	2162.2			3858.58	8345.81	1389.89
ERG26		1372.33	1115.62			9468.29	3093.69	2827.69
ERG27		3026.89	2788.69			4447.1	2271.78	2099.84
ERG28		1305.45	854.197	1133.2		3150.49	2317.96	2534.16
ERG29								789.021
ERG3		450.31	651.984				838.873	12076.8
ERG4		5977.24	5572.51	10601	9915.71	8346.32	2640.41	3685.07
ERG5		3574.19	2295.52	15097.2	58584.4	4348.55	3431.64	1779.16
ERG6		13628.5	14357.1	25314.8	46683.9	17982.6	13975.3	12246.4
ERG7		3539.64	2132.05	21878.9		9106.72	1387.19	913.395
ERG8		1788.09	2071.58	6128.19	7354.17	3940.54	1938.76	1708.48
ERG9		6871.49	4029.39	20950.4	9619.11	6865.27	4601.25	4215.01
ERJ5		753.605					355.02	413.647
ERO1		1741.16	2157.78	10237.2		2245.7	3328.57	2350.49
ERP1		1689.89	1146.82			9583.33	3032.2	2364.39
ERP2		1109.13	622.298	2123.08		1341.55	1164.48	2565.19
ERP3								
ERP4		327.457	801.141				248.722	251.437
ERP5		617.17						
ERV1			723.261				1906.21	1043.42
ERV14		847.184	586.151			1180.3	472.459	1968.71
ERV15							352.342	
ERV2		1132.4	893.922				1031.73	513.96
ERV25		3041.63	6681.2	7862.04	6885.9	4425.15	3755.71	2327.76
ERV29			664.06					1105.32
ERV41		705.146	1388.3	5452.3		339.571	591.088	379.204
ERV46		1286.48	949.434	875.261		2090.18	1440.94	1128.5
ESBP6							313.807	
ESF1		190.672					153.286	
ESS1		1323.66	1056.44				1451.58	1324.98
ETR1		3112.6	2134.59			6251.94	3443.3	1578.64
ETT1		1729.83	2331.87			2493.92	1463.45	2416.76
EUG1		3816.18	2453.89	10917.9		3352.19	5392.46	1575.1
EXG1		4131.7	6922.51	17099.7		8817.36	4249.74	5582.37
EXG2		2678.48	2032.87	4395.73		1974.37	1309.58	1662.42
EXO5		893.612			6539.78	761.318		
EXO70			202.239					
EXO84		396.873				658.511	237.654	
EXP1		802.242						170.492
FAA1		5883.08	4882.25	31180.6	18833.3	9018.46	3841.18	4333.43
FAA3		1460.06	1398.77				1897.38	
FAA4		3075.53	1853.67	16194.3	25582.1	4434.43	2010.53	2099.78
FAB1		133.38						
FAD1		1487.09	913.259			1284.85	832.949	574.161
FAP7		531.013	1026.28	2139.95		1759.17	856.016	905.056
FAR10								
FAR11		132.036						
FAR3								
FAR7								
FAR8		536.295						
FAS1		27285	35950.2	63799.1	67820.9	30598.6	27180.2	28050.5
FAS2		40386.6	56428.7	95527.3	131160	49676	43141.5	44516.4
FAT1		1827.44	1824.15	7380.51		1560.19	1150.67	1484.59
FAU1		503.471	110.424					
FBA1		100626	107641	361787	482641	189766	113962	123503
FBP26		192.396	114.351				395.862	358.692
FCF1		217.739	316.602				285.311	
FCP1		1356.1	949.319			1607.64	2380.92	314.59
FCY1		548.775	1403.67			5035.24	986.582	1539.92
FCY2							483.888	
FCY21								
FDC1		5071.28	5385.15	22709		13837.1	4637.98	4201.08
FES1		1709.71	2405.03	9799.77		3757.34	2744.23	2906.59
FET3		218.581	572.396		11331	2793.14	3126.2	369.081
FET4		365.916				1113.6	350.49	
FET5		1868.03	1498.17			1583.18	1286.92	1470.89
FIP1		341.878	109.3				306.728	188.972
FIS1		990.246	887.945				1101.87	1259.86
FKH1								
FKS1		7538.12	6584.29	22478.5	18460.9	7344.34	7845.03	1892.7
FLC1								
FLC2		720.876	1877.72	1607.45			1739.92	474.385
FLC3		1296.02	1286.61				1083.3	470.663
FLR1								
FLX1								
FMC1		1025.27	1926.86			1369.13	2094.37	2424.95
FMN1		603.317	724.397	4454.22		601.044	1224.22	328.196
FMO1						2868.41	1399.9	549.391
FMP10		2648.13	360.826	10577.1		2464.58	170.424	413.213
FMP16								
FMP23								
FMP25								
FMP27		943.344						555.616
FMP30		188.512	754.279	1399.82		267.274		293.177
FMP32								
FMP33								
FMP41		6359.46	4950.45	13689.1		4848.37	5248.15	3609.24
FMP42		877.06	779.586				523.059	684.107
FMP46		3130.15	1051.97	10451.9			1100.35	602.307
FMP52		1173.25	2076.27	2202.26		2112.18	2628.29	2218.09
FMS1		666.508	881.079			1278.35	744.579	
FMT1			289.301				1470.79	
FOB1		1730.94					742.26	
FOL1		575.233	1660.91	2695.36		6781.22	3996.69	684.278
FOL2		1019.4	742.755			3767.42	2212.14	2593.13
FOL3		2733.5	3352.66	8119.37		4946.54	2118.11	1016.05
FPK1								
FPR1		14385.1	29450.5	35525.3	58253.7	12259.6	15202.9	32532.2
FPR2		3080.56	3248.3	9186.72		1966.51	1664.31	2427.49
FPR3		1027.22	361.194			3495.74	531.132	493.955
FPR4		1431.58	1682.65	1235.86		1693.45	1360.31	
FPS1								
FRA1						797.819	1151.77	643.598
FRD1		6007.45	6556.84	7256.95	34845.3	6036.36	5187.71	5874.56
FRE1		753.431	374.552				536.299	
FRE4								
FRE7			129.178					
FRE8								
FRM2								312.334
FRQ1								130.42
FRS1		15957.5	15984.4	21172.7	23069.3	23684.6	18285.7	10005.1
FRS2		4418.53	6416.57	17492.1	113572	8348.02	4651.73	5605.69
FSF1		2166.21	2117.05		8018.63	1134.57	2325.66	896.999
FSH1		3999.12	4714.2	24888.8		9214.68	4418.24	4063.7
FSH2		331.079					135.97	
FSH3		1644.69	1043.39			2572.85	685.444	1474.94
FTH1			356.563				384.237	
FTR1		1211.77	985.625			304.315	6455.58	615.998
FUB1		256.442	327.56				269.996	
FUI1			513.106					
FUM1		9219.11	8768.76	36767		10878.9	7402.43	3314.62
FUN12		1561.06	797.771			2916.96	893.165	680.121
FUN14								
FUN26								
FUN30		676.781	649.183	900.187		445.729	267.042	
FUR1		11491.3	24944.2	16409.6	17947.4	14519.2	12111.9	16688.4
FUS3						7867.88		
FYV4			160.352					
FYV8								
FZO1		6395.95	6216.42					281.109
GAA1		545.989					1017.67	
GAB1								343.869
GAD1		1200.66	684.998	5261.42		1998.78	1272.29	1290.92
GAR1		1287.22	1558.97	4892.86		943.738	915.136	1811.46
GAS1		3160.31	6555.24	46863.2	87627.8	9360.4	5974.15	9894.17
GAS3			639.071				805.253	815.605
GAS5		1123.52	408.614				1626.43	684.336
GBP2		3181.76	2390.4	6010.22		2334.84	3411.19	664.588
GCD1		580.621	1210.68	4344.87		1086.78	905.269	765.508
GCD10		2482.17	1687.64	4629.58		3350.11	1797.38	600.064
GCD11		2474.8	2083.9	7796.94		2576.62	2229.82	3860.05
GCD14		1058.34	602.427	6356.57		2246.46	1033.24	538.624
GCD2		3407.39	1377.58			3069.13	3285.69	1406.92
GCD6		1818.2	1498.66	1333.95		4797.85	2884.36	458.1
GCD7		1064.64	305.959			864.118	1570.44	1409.08
GCG1		795.266	653.85			955.446	371.284	1205.15
GCN1		4439.68	3181.72	19782.7		6318.25	3704	3259.22
GCN2								
GCN20		1369.19	1139.82			787.391	856.533	631.183
GCN3		1370.88	1024.76			1134.25	995.36	1137.13
GCN5		303.548						533.659
GCS1		1716.8	2378.3			2683.43	2081.29	1756.71
GCV1		3576.11	3168.34	25752.3		7042.31	3576.27	3784.62
GCV2		4669.76	3581.28	17152.5	10240	8665.76	6202.28	3995.71
GCV3		2687.92	2935.34	1964.17			3553.61	4768.58
GCY1		1181.59	1185.77	2979.65			1502.91	948.136
GDA1		1337.29	1167.49	6162.27		1413.72	945.537	1133.56
GDB1		393.159	571.369	2525.32		1089.1	985.873	310.438
GDE1		392.53						
GDH1		4910.7	7574.58	49768.4	71342.7	13284.3	6418.31	9480.12
GDH2		3108.66	3972.24	33341.9		2304.87	2722.44	2577.12
GDH3		6042.45	22006.2				2213.07	2043.95
GDI1		5439.87	5244.52	13823.3		6122.06	6996.02	4363.07
GEA2		1254.93	1829.55	3570.59		3017.94	1981.78	1186.53
GEF1			1164.35					
GEM1		2168.5	2356.41			1131.42	1330.31	
GEP3		514.787						544.516
GEP4								198.935
GEP5		805.165						
GEP7		820.535				1081.85	853.509	
GET1		11235.3	6417.87	22736.9		10871.1	14148.2	1104.52
GET2								594.342
GET3		1595.7	3009.48	14668.6		4074.04	4331.46	3532.04
GET4		1413.35	557.021			4791.9	2839.17	626.808
GFA1		12342	17673.7	89970.8	74454.1	21473	15967.1	11888.1
GFD1		549.837	449.51				850.595	
GGA1		591.771	398.767			1598.73	994.637	1125.22
GGA2		1861.54	971.864	3757.35		2611.17	1335.58	2210.48
GGC1		4186.55	2651.29		64689.4	3680.86	4549.65	4757.63
GID7								
GIM3		4490.45	4999.71			6177.39	6667.21	3177.34
GIM4			878.967			372.385	646.825	1171.84
GIM5		1151.27	1259.61	5555.7		1409.89	1991.08	1101.7
GIN4		808.283	312.644					409.419
GIP3			195.674				2811.98	
GIP4								
GIR2		813.772	623.114			736.048		606.422
GIS2		600.536	779.003				481.964	696.434
GIS4								
GLC3		435.536	632.757	3071.69		1243.23	763.563	998.221
GLC7		2435.76	2422.69	11934	8047.57	3193.53	2259.28	2747.61
GLC8		608.298	1054.42				806.97	482.374
GLE1		1136.92				3944.15	1975.69	
GLE2		870.081	389.962				335.383	424.999
GLK1		5993.13	7337.34	34316.9	28512.1	28837.9	13720.4	13763.3
GLN1		7439.26	13970.2	15138.4	243259	6719.04	9059.55	28526.2
GLN4		8604.58	8714.88	3744.09		9233.81	6552.79	5663.29
GLO1		2591.18	2404.78	11772.7		3213.72	1592.1	1970.54
GLO2		715.596	922.882				397.737	495.926
GLO3		762.867	582.139					217.161
GLO4								
GLR1		2410.49	3164.26	38511.9		4357.01	3355.24	2560.07
GLT1		4331.85	5221.62	19115.9	44303.1	6948.59	4590.03	4043.58
GLY1		10706.9	17632.4	54414.4	49525	14242.6	9229.58	14781.5
GMC1								
GMH1		2183.93		2684.58		1483.2	1566.04	
GNA1		252.583	1080.85	2740.44		1156.87	372.691	426.821
GND1		18260	32261.5	154912	48297.3	37771.5	22422.3	29468.4
GNP1		467.68	817.669				433.426	300.929
GNT1		1223.59	1036.04	2939.91		2130.06	641.466	590.498
GON7		110.789	417.517				523.457	392.418
GOR1		3063.55	3234.54	12495.4		3112.23	4421.63	1971.88
GOS1		1933.58	980.217				2303.66	720.985
GPA1		2099.44	1890.55	2876.68		4376.49	4080.31	553.411
GPA2		301.103	401.192			828.49	170.384	
GPB2								
GPC1		2592.34	2247.76			910.338		583.478
GPD1		7879.4	9793.27	24192.2		6600.68	11380.9	13612.2
GPD2		1505.76	953.922	8296.54		3245.35	2442.29	2290.01
GPH1		1056.23	1311.37			1836.04	1203.06	1545.58
GPI1								
GPI10								
GPI11		729.605					826.995	416.929
GPI12		1838.17						
GPI13		455.26				622.614	682.848	912.762
GPI14								
GPI15								
GPI16		2263.66	425.427			2443.25	1759.78	2104.11
GPI17		507.163	1199.48			312.188		1016.73
GPI18								
GPI2								
GPI8		795.7		5433.94			1140.76	
GPM1		57722.4	67803.8	139860	130338	127166	81199.3	92212.7
GPM2		514.121	673.334			1180.58	1018.11	1210.38
GPM3		365.254	425.214			1751.93	949.818	412.6
GPN2		529.121	590.824					520.379
GPN3							1453.42	325.751
GPP1		20144.8	21814.6	32486.2	145390	54065.1	37276.9	26761.4
GPP2		3058.03	3489.65	5196.57		2241.05	3638.71	4838.21
GPR1		279.364						
GPT2		7435.49	2842.4			5312.03	5897.9	1272.52
GPX2		1387.12	1665.7		51993.6	2726.15	1928.48	2085.43
GRE2		1962.93	2045.62	12308.2	19989.5	4678.7	2264.78	2079.23
GRE3		6198.8	5278.9	29708.7	43203.3	14844.7	7925.56	3603.94
GRH1		689.713	453.888				470.074	388.847
GRS1		12767.7	16015.7	22533.2		16079.8	12227.3	12184.4
GRS2		511.526	925.829	3787.83		810.805	167.098	675.666
GRX1		3302.22	4318.19	8570.09	8028.66	3588.96	3423.53	2556.48
GRX2		3546.73	5071.49	5574.16		4248.4	3080.08	6388.58
GRX3		2873.4	2834.05	17438.5		5124.09	3427.93	1364.73
GRX4		356.641	2003.98	4594.64		1963.74	221.198	337.494
GRX5		1831.87	3080.18	5252.93		3537.52	1979.18	3206.98
GRX6								
GRX7			492.002					
GRX8		1828.61	1457.57			4864.75	2406.45	3458.6
GSC2		9855.78	6478.54	13253.6		11349.4	6693.04	2289.02
GSF2		1594.14	1109.16	8016.54		1993.31	1330.1	1236.78
GSH1		2214.44	1790.58	10895.7		2349.83	2176.18	1451.3
GSH2		3201.59	2531.87	12578.9		4396.98	3528.67	1620.65
GSY1		329.113	142.235			405.532	448.129	265.343
GSY2		1445.3	1167.93	2875		1135.03	1357.42	772.349
GTB1		712.639	369.15	10321.8		2025.8	414.066	
GTF1								
GTR1		167.716						523.098
GTR2							261.01	542.348
GTS1			200.801				194.581	
GTT1		2472.67	1725.6			2519.95	2709.47	1555.78
GTT2								
GTT3			366.228			490.308	515.477	256.981
GUA1		12220.4	15822.6	31194.8	92610.9	21736.1	14931.5	11642.8
GUF1							657.456	
GUK1		3442.12	6747.35	14580.6		4849.89	6906.68	8941.37
GUP1		2720.28				1306.26	2017.11	
GUS1		17782.4	16854.1	30420.9	65666.6	16432.6	17485.4	19004.8
GUT2		5810.2	3716.58			4709.26	4054.26	1775.55
GVP36		1512.99	1352.24	2323.75		615.049	1000.4	2845.52
GYL1						1536.01	2038.01	125.61
GYP5			248.516					117.387
GYP6						415.38		
GYP7								
GYP8								
HAL5			182.451					
HAL9			3284.87					614.716
HAM1		1244.93	2685.12	2249.27		4148	1361.31	2284.35
HAS1		2201.99	1585.3	2497.68		2892.69	1452.61	1238.67
HAT1		483.33	1013.19	7204.06		1159.35	1223.73	440.219
HBN1		1729.15	1657.37	11364.4		3210.91	2247.87	782.228
HBS1		567.302	840.014	2634.45		1547.98	986.368	1185.42
HCH1		3593.07	1714.96	4580.6		7417.52	4400.72	1611.59
HCR1		4106.46	3567.64	4685.72		7343.76	3959.88	3403.36
HCS1		310.386	250.915			317.327	337.141	305.31
HDA2		323.672					348.716	
HEF3		6908.18	1728.3			4010.36	5393.15	1279.96
HEH2		2563.37					5635.83	449.355
HEK2		1251.01	824.578	2476.66		1830.11	1050.53	1488.86
HEM1		3926.95	6073.68	36629.3	117701	6166.68	4192.63	4657.24
HEM12		3393.3	3831.23	9084.76		4633.59	3223.53	1883
HEM13		2918.75	2926.06	9056.37		4246.19	2856.64	1211.77
HEM14		1253.18	636.838			962.818	790.29	235.172
HEM15		2323.96	1743			5217.79	3176.79	2350.92
HEM2		3704.43	4940.72	38076.4		3689.01	4942.56	4901.57
HEM25			301.003			375.233		417.519
HEM3		1442.88	1771.59	3925.35		1577.73	1852.72	826.485
HEM4		677.035	538.502	1413.08		866.824	510.243	341.313
HER1					8124.04		951.289	
HER2		1035.61				4565.49		193.446
HFA1			453.131	1943.09		473.764		253.699
HFD1		849.848	1094.52	2557.9		2997.99	2792.16	1411.44
HFI1						1781.81		
HGH1		3341	4824.6	24325		6647.62	4734.07	3561.07
HHF1		4954.83	2362.6			3603.11	3319.72	2835.76
HHO1		490.66					454.146	672.797
HHT1								4416.15
HIF1		354.54				1106.86	842.222	586.333
HIP1								
HIR3								
HIS1		7901.01	12530.8	27720.1	21331.1	17119.7	9466.37	9295.57
HIS2		658.344	866.345			762.989	406.003	959.905
HIS3		3729.55	7370.8	33226.3	2529.67	6083.67	4088.57	5664.39
HIS4		6441.45	7181.58	22793.9	62228.3	25316.6	9715.76	12219.6
HIS5		5522.55	5024.97	22630.2	49961.1	7880.86	7267.99	8709.35
HIS6		1111.25	2114.21	1745.12			1761.51	782.729
HIS7		16490.3	22648.5	110446	56034.1	43149.9	23244	24934.2
HLJ1		1365.57	409.999				1501.97	537.076
HMF1		3023.8	3203.47	7830.02	45686.4	11932.6	5145.64	9519.7
HMG1		2378.67	4654	24851		10671.5	4822.43	1915.95
HMG2		1501.45	1054.25				621.33	610.5
HMI1		1179.41				3825.84	1025.56	1763.12
HMO1		3835.26	3384.98	18256.9	2666.91	10857.4	6157.78	6228.86
HMT1		2209.94	1552.18	5289.46	11467.5	1792.13	1810.16	1320.78
HMX1		6508.76	962.745			1459.88	837.522	836.435
HNM1		280.285	80.5017				164.436	108.389
HNT1		4214.18	3057.85			4196.27	2769.41	1103.34
HNT2		857.047	1158.02			1162.89	795.552	916.823
HOC1		2347.6	455.752	9314.79		2507.3	1698.74	1207.6
HOG1		2737.24	3043.11	17408.5		4828.91	2710.87	1667.66
HOL1								447.426
HOM2		29998.2	34455.9	60907.5	178887	24612.7	27319.2	39833.9
HOM3		12012.6	9937.53	43011.8	30267.8	13528.3	12847.4	13232.5
HOM6		9777.19	17829.8	60922.3	34020.1	14758	17101.4	18795.6
HOS3								
HPA3		785.421	1046.08			1062.74	912.415	382.218
HPM1		1318.35	2067.97	13436.5		3152.84	1013.23	2084.01
HPR1		759.05	328.837			805.229	728.473	294.148
HPT1		4696.59	5236.67	1450.9	12116.4	17575	13563	4998.81
HRB1		958.387	1112.73	6366.79		1263.07	444.605	498.797
HRD1								
HRD3		3710.79						344.386
HRI1		5944.52	8826.31	2653.64		28271.4	5505.75	7249.24
HRK1		477.89	262.497				363.032	257.438
HRP1		1487.88	1355.68	10049.5		1623.76	933.969	1410.94
HRR25		986.472	660.422			857.818	710.012	873.199
HRT1		165.929						
HSC82		14883.8	17534.6	25164.1	22421	18906.1	14820	12032.8
HSE1		142.147				508.997		
HSL1		943.434						
HSL7			1831.66				1153.45	510.948
HSM3		2230.74	1733.14	9388.9		3068.61	1555.54	266.943
HSP10		9590.41	14569.1	5481.53	33910.5	7337.48	20704.5	15959.1
HSP104		3472.59	2484.49	13548.3		7564.02	3288.34	4055.05
HSP12		2879.93	5832.77		213976		3535.55	5526.67
HSP150		1265.71	486.395				386.875	767.607
HSP26		509.105	1421.52			9776.02	2144.3	3167.48
HSP31		2594.27	3114.87	6638.75		4296.4	3322.85	1906.44
HSP42		1985.24	2165.98				1621.04	1959.27
HSP60		11775	23125.3	64426.5	87913.5	27149.7	17189.6	19228.2
HSP78		2492.44	1792.84	8140.84	15949.8	5661.12	2391.81	3714.27
HSP82			251.379				747.359	465.677
HST2		1232.47	609.672					277.025
HTB1			411.927					
HTB2								
HTD2								
HTL1			633.421				303.208	601.748
HTS1		16963.8	16915.3	92813	29517.5	23886	14292.6	12047.4
HTZ1		1656.81	295.323				1395.7	228.776
HUA2								
HUB1			776.406			1235.92	585.591	280.493
HXK1		3979.16	6534.29	7339.42		5656.51	5053.2	7154.35
HXK2		32437	45158.4	86391.8	84792	47609.9	31718.3	35825.3
HXT1		1998.55	1347.25			1518.2	2640.01	
HXT2		2835.22				4856.67	3250.52	
HXT3		9021.98	3769.75	38461.9	70500.7	9631.22	6792.18	3094.75
HXT4		1498.08	599.691				927.776	359.311
HXT6								
