Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
APA1		3719.55	3553.74	17883.5		11583.5	11035.8	4413.83
APA2		235.269	216.168				325.51	
APD1		2550.73	1364.26			4161.05	1283.42	873.561
APE1		2366.72	2320.72	16484.5		10422.2	4224.11	3658.86
APE2		3521.51	6452.99	18378	11357.8	8325.46	4089.46	5729.61
APE3		2588.51	3644.4	2180.95	25029.4	7450.11	2929.51	3112.52
APE4		1038.97	1294.17	13056.4		1467.03	1056.46	1327.39
APL1		402.491					1034.85	
APL2		211.072	386.726	639.649		146.366	560.712	
APL3								
APL4		1504.43	1912.22			2283.29	1990.9	742.221
APL5		477.632	807.029			575.755	327.213	450.704
APL6		674.892	2633.65				666.25	724.164
APM1		466.944						
APM3		945.453				1912.78	600.622	491.448
APM4		392.68	681.379				532.434	467.162
APN1		1628.9	1157.09			1303.27	1180.97	1374.52
APP1								
APQ12		759.842				811.51		
APS1							65.1667	
APS2			110.903					
APS3		640.443	461.355	1278.44		769.032	422.284	256.97
APT1		3681.33	2755.98	7007.05		7389.17	2496.39	6329.16
APT2		5602.25	5124.1	29703.2		5495.51	6193.87	2412.38
AQR1		547.515	382.304			1214.17	647.68	209.813
ARA1		6181.63	7702.47	16105.9	30075.6	7833.45	6528.2	4488.35
ARA2							194.123	158.451
ARB1		3056.6	2723.49	25350.4	52258	3457.95	3141.51	3947.27
ARC1		16076.4	11343.9	126608	69458.3	34881.2	11138.7	10749.9
ARC15		3183.56	4079.29	1442.86	43993.7	6137.16	8098.95	4092.67
ARC18		5200.62	5550.6	9287.66		11302	5468.74	7595.18
ARC19		2111.01	1687.04	7145.39		6462.76	4129.93	2555.32
ARC35		5789.94	6099.14	21810.3		12569.1	9119.55	7092
ARC40		3460.44	2120.58			4892.22	3341.15	2793.4
ARD1		1118.49	1553				1564.67	1229.95
ARE1								
ARE2		2227.77	780.685				2393.16	1547.07
ARF1		5624.42	2712.8	5016.31		1737.08	1419.55	2939.73
ARF2		3442.24	3777.59	4498.96		2297.9	610.488	1185.34
ARF3		1177.99	507.965	3651.87		550.508	429.688	875.369
ARG1		92913.7	117480	175978	218371	57771.2	112066	139160
ARG2		2261.67						1106.81
ARG3		17281.5	16290.4	39233.6	37644.4	7309.43	13353.9	18078.9
ARG4		15059.9	15181.9	23514.3		17259.8	22485.7	18840.2
ARG5,6		17970.9	16940.5	26541.3	51251.9	25836.5	13345.2	13415
