wt35_1.1st	wt35_2.1st	wt35_3.1st	wt35_1.3st	wt35_2.3st	wt35_3.3st	wt35_4.3st	Mut218_1.3st	Mut218_2.3st	Mut218_3.3st
YAR073W	4.90940919734457	5.17149543348766	5.06816143064272	5.03529049671197	4.92822439935305	4.7906953961597	5.09407026323647	5.61898790511234	5.75159237656837	5.71481397561044
YAR075W	0	0	0	0	0	0	0	0	0	0
YBL113C	9.63396641776779	9.72781552186064	9.72604107284751	9.78303119339813	9.64452102735194	9.71484250580453	9.67469093523163	9.46304485805925	9.48723121534696	9.39842582756141
YBL113W-A	0	0	0	0	0	0	0	0	0	0
YBL112C	1.68454961565754	1.88983728129957	1.76807369568146	1.4529140348291	1.69292135473726	1.52341938692893	1.68769110495623	1.73570186517843	1.73653315214706	1.64613874958763
YBL111C	4.36239789131761	4.49275097223838	4.5522113637814	4.53196734268658	4.38158205013518	4.32949373071303	4.49687416875018	4.5213340341278	4.45459272053758	4.65995135513321
YBL109W	1.2619758603716	1.19763760644248	1.42107576190248	1.3824594962517	1.69149399625163	1.38359210519323	1.33802656390277	1.32324425911416	1.25143780328131	1.37286289657944
YBL108C-A	4.39226609815157	4.19274086122785	4.14700900043312	4.46114708692312	4.18693471549464	4.10083254689729	4.02783144325444	3.49166966069642	3.65286826544881	3.5402246617244
YBL108W	2.21044241074337	2.30452823889052	2.16895991318003	2.17423174938276	2.28094153586944	2.34169240650119	1.96367607831405	2.13205762540547	2.01039181409432	1.98464938793893
YBL107W-A	2.98209651254984	2.78410527754578	2.662299199143	3.09097390673685	2.8578260634117	2.65234006164968	2.64455220164388	2.45565146120488	2.45657368597294	2.31569755621112
YBL107C	8.17214099452858	8.23591825450832	8.30545110451172	8.23888932873767	8.32306325697197	8.31804076005285	8.58406118251014	8.36076342967995	8.39252588456272	8.26877031421239
YBL106C	9.45027571144058	9.48129783040312	9.59212318804069	9.61854257538572	9.65589565737254	9.67138672109229	9.67684535880812	9.31052172887467	9.34833187383805	9.25177361493878
YBL105C	9.34217959269214	9.41748938759791	9.45986798606114	9.2362185826221	9.28483648738288	9.20944400760039	9.33158031626934	9.28028050594994	9.28051927171159	9.28687639821272
YBL104C	7.85164232262112	7.81046867035792	7.91862260020139	7.75465900514805	7.71107484818054	7.69325435742631	7.71889717201023	7.7000010953534	7.71511370507719	7.76183426571035
YBL103C	9.26001960709564	9.11203340612382	9.17206277043596	8.9229434028324	8.80228817724988	8.83488463205434	8.72485097554467	8.53087576754029	8.45949166742105	8.59685823281265
YBL102W	8.81006880949127	8.66737052909083	8.68417220162231	8.85680900512029	8.58913794004867	8.54892608960451	8.42163601758104	8.27620993820047	8.27832386917737	8.25188495882321
YBL101C	9.28595635426458	9.16400863553296	9.20115352308827	9.21146456538636	9.06429210409273	9.09812087705487	8.94657317784197	8.85287192436203	8.9007083372973	8.90504300074454
YBL100W-C	2.51793360262569	2.60241693852994	2.75703506207061	2.48246515286841	2.64010816206196	2.6899995776378	2.68557070177982	2.75763758860127	2.80683893593303	2.81016078318569
YBL100C	5.86894148676962	6.0584414073854	5.65694922311162	5.79209299352074	5.92683738195731	5.92552916909209	5.82057572256742	5.92067142914561	6.04490193661208	6.03055710859406
YBL099W	11.2028668899361	11.2479233987396	11.0870700885367	11.4273435797319	11.4432191259289	11.1875705656891	11.3941707041495	11.2850227760063	11.2721075722611	11.1730392827744
YBL098W	9.43670361740934	9.37776209335733	9.43711300601704	9.33129425811432	9.34089039401243	9.33908724439356	9.42969934325228	9.09882781635973	9.12308857774851	9.05990432738141
YBL097W	6.04600040569944	6.25255468778187	6.39944859872907	6.01736771276195	6.34449697386294	6.07781941516463	6.33642492608337	6.41004071923769	6.41244420231231	6.68850585515795
YBL096C	1.86125613630635	2.05725570890059	2.00840871836965	2.01838653507569	1.86969811533544	1.89783042558611	1.93009225176646	1.91056610682053	2.15376235616918	1.94588971124226
YBL095W	7.41038149849466	7.37286793881897	7.03767596651084	7.23388273989014	7.26628431378423	7.01788895918395	6.88248336331857	6.87375621293938	6.73264057388315	6.67377068173621
YBL094C	2.95526274773636	2.79764033142317	2.63252217471813	2.71951360327074	2.67633836027079	2.72156101868101	2.66826982107998	2.5356906997631	2.48196077360144	2.34135073483578
YBL093C	8.53031214987659	8.46859413810457	8.55236449363431	8.69378018366193	8.7310527031401	8.61018761508332	8.61123972022455	8.63718076977475	8.67056461623421	8.64458813422888
YBL092W	9.91011083400578	10.0293640994177	10.1532085004762	10.1541717465661	10.2638932232899	10.1552629023767	10.2013989160303	10.3027604851833	10.2869587223203	10.2128423495053
YBL091C-A	7.50643913293434	7.33569712832959	7.30830865860199	7.35857365787124	7.3191547001589	7.32457706282474	7.40148944782186	7.27860295991679	7.37439990443116	7.24730864478562
YBL091C	10.8488099077011	10.9963532373396	11.1964025645044	11.2672486766084	11.5101525287922	11.1302323065169	11.4032152942268	10.9321756284834	10.9911655169282	10.9400522683584
YBL090W	7.89678419260137	7.86612353850521	7.89079202436694	7.96508433418551	8.04449260241812	7.97137661089082	8.15802383331831	8.04015814206169	7.93687405417539	7.99282077139556
YBL089W	7.47785054633015	7.37627727281414	7.35368840365886	7.34394552574478	7.31787497393025	7.27424095615299	7.30564755657098	7.26348863143558	7.2397107840183	7.23603408094973
YBL088C	9.09236819518315	9.15842257658415	9.22718329862466	8.98478263032018	8.93263066482427	9.08315139475046	9.04962762405702	8.80339143964343	8.78131690806216	8.80773286317277
YBL087C	8.82748150061315	8.83470490186337	9.03875798177832	8.90469146232319	9.09813618200089	8.90718987148143	8.90234428059663	8.99365074920068	8.94355574243168	8.89357372377634
YBL086C	8.85468179794505	8.79253232207493	8.69998023516775	8.96760034023596	8.81686089699907	8.82818295297287	8.65310835013604	8.44088524906433	8.4555601598768	8.53462080740581
YBL085W	8.45999573096907	8.50020225909664	8.40627264485923	8.37201809845453	8.3256489378421	8.41006558775538	8.33094180528083	8.52650885658785	8.59020488729383	8.6707662670228
YBL084C	7.08493904124892	7.12437289159694	7.13932957448485	7.02491587331864	6.99873725365978	6.99018890097325	6.92498668032067	7.07313831124047	7.20008049232037	7.12853431334405
YBL083C	-2.16337061934745	-2.09023491102186	-2.15990405548067	-2.16942655128758	-2.16147303862118	-2.16916116403315	-2.16266290567723	-2.16663963173148	-2.16647200488497	-2.17164559881919
YBL082C	6.18222700450871	6.20571750776628	6.45360211769199	6.23669250998614	6.55597592324381	6.22392747618519	6.32587764886855	6.43193010941442	6.48895304631294	6.27675170363136
YBL081W	6.26839859861329	6.44764872322063	6.56328592479582	6.27567050143247	6.32779429356725	6.36928290132567	6.36332968589788	6.49463446913245	6.49029309585082	6.4242925502297
YBL080C	8.07179109690195	8.07245842704897	8.09506607054973	8.07607958926148	8.182095783779	8.15484362559796	8.31889310130143	8.1553052873792	8.18507755093028	8.22699921606918
YBL079W	9.36589184131451	9.38738309652377	9.40675037252431	9.22082477204039	9.18556173298163	9.31953669500723	9.28022971518394	9.17649702302287	9.19767260884435	9.23180041796488
YBL078C	8.1652321219537	8.12225880808854	8.04070364369088	8.40001278019702	8.39694133668383	8.13840124951163	8.16483163671595	8.3167147786374	8.28003979650845	8.42605519327364
YBL077W	2.75488442296901	2.51428528338985	2.41018191169665	2.45801310974593	2.40072146425752	2.40709907837709	2.15282998709799	2.19505356058343	2.36991558697991	2.10979169106533
YBL076C	11.6541055621371	11.6572072520418	11.5853191165856	11.4998106583496	11.4394143083437	11.4001865246831	11.4139769729383	11.1789385587535	11.1734718660248	11.1312940326958
YBL075C	10.2196456078638	10.3091578712009	10.3882224141838	10.0581813061157	10.2633608882536	10.2638298580349	10.1981954157284	10.7430214125667	10.9076020408771	10.9621386232009
YBL074C	5.98153677497187	6.12262780627387	6.16093823313665	6.07606334588942	6.27855179162523	6.18163215259431	6.39803108469442	6.2157852449147	6.25058781979473	6.30323368761606
YBL073W	3.05162479271483	3.37732725044171	3.0228829517307	3.38570648355509	3.92854910900792	3.42474129652326	3.44877619585051	3.16770797442671	3.4506123572585	3.08728031654913
YBL072C	10.1912820464731	10.2170093196447	10.3992073734671	10.4450917780892	10.5658289019846	10.4633810319861	10.6186466866829	10.49344911432	10.4890970080645	10.4915515796909
